f1,p,r
0.9355794191,0.9401068687,0.9314095974
0.8007047772,0.822440207,0.7818508148
0.9111263752,0.916221261,0.9064689279
0.8826181293,0.891759932,0.8743347526
0.9024350047,0.9109957814,0.8947973251
0.9058639407,0.913878262,0.8987777233
0.8979634643,0.9006362557,0.8953565359
0.8607624173,0.876231432,0.8471187949
0.8974016905,0.9088233113,0.8872300982
0.9350818396,0.9401889443,0.9305664301
0.8869488239,0.9040548801,0.8720456958
0.8494052887,0.8674909472,0.8337313533
0.9091293812,0.9158673882,0.9029816985
0.8748526573,0.8779619932,0.8720285892
0.8776749969,0.8888981938,0.8676861525
0.8521057367,0.8642534018,0.841309309
0.9118958712,0.9203492999,0.9045487642
0.9304303527,0.9381181598,0.92376858
0.8069221973,0.8302873969,0.7864823937
0.9144732356,0.9193184972,0.9100530148
0.8451844454,0.8628199697,0.8296016455
0.8592978716,0.8738521338,0.8470647335
0.8214081526,0.8366140127,0.8078382611
0.9437273145,0.9469513893,0.9407707453
0.817285955,0.8365952969,0.8006005883
0.9069947004,0.9127839208,0.9017003179
0.8419017792,0.8529672623,0.8317598104
0.9180708528,0.9268864989,0.9103349447
0.9097431898,0.9160556793,0.904516995
0.8576413989,0.8685997725,0.8477789164
0.8893370628,0.8993340135,0.8802030087
0.8958435655,0.9010617733,0.8909025192
0.9031880498,0.9139583111,0.8940380812
0.9323100448,0.9379988909,0.9274532199
0.8541744351,0.8644011617,0.8456429243
0.8300843835,0.8441388011,0.817566514
0.8667024374,0.8795017004,0.8550546765
0.9137392044,0.9233621359,0.9053241014
0.9092110991,0.9128979445,0.9058553576
0.8538053036,0.8695867062,0.8401710987
0.916451931,0.9260255694,0.9082628489
0.9148961902,0.920663178,0.9095671773
0.8912577629,0.8999583721,0.883228004
0.874512732,0.8853307366,0.8647164106
0.8265900016,0.8435389996,0.8120914102
0.8779551983,0.887560904,0.8696558475
0.8854144216,0.8949258327,0.8767825365
0.8552885056,0.8701049685,0.842307508
0.8763910532,0.8900159001,0.8639909625
0.8107304573,0.8211421967,0.8020717502
0.9202383757,0.9233749509,0.9172993898
0.8706650138,0.8806105256,0.8621044159
0.8721795082,0.8853817582,0.8602948785
0.858802557,0.8695352077,0.8488057256
0.8822926879,0.8912208676,0.8743175268
0.8248037696,0.8403969407,0.8108794689
0.8187077641,0.8304994106,0.8078607321
0.9295693636,0.9351351857,0.9245383739
0.9055153728,0.9143540859,0.8974295855
0.9239195585,0.9283095598,0.919839561
0.8948818445,0.9049431682,0.8861882687
0.9712189436,0.9712101817,0.9712278247
0.8984051943,0.9068345428,0.8906262517
0.9069646001,0.916852057,0.8980397582
0.8937901258,0.9058286548,0.8828573227
