f1,p,r
0.4316545427,0.4181777835,0.4472251832
0.5398538113,0.5237776041,0.5586673021
0.4364652634,0.4218369126,0.4534668922
0.3556272686,0.3454783261,0.367040962
0.4194638431,0.4042805433,0.4368460774
0.4909628034,0.4779648781,0.5056105852
0.3641875088,0.3562470078,0.3730921745
0.4604578018,0.446880281,0.4763403237
0.544034481,0.5263924599,0.564035058
0.451189518,0.4288107455,0.4772943854
0.4851383269,0.4684803784,0.5037943721
0.5244426131,0.5025082231,0.5497877598
0.4980713129,0.4820839465,0.516580224
0.5681780577,0.5545352101,0.5831185579
0.4003070891,0.3903828859,0.4115695059
0.4555717111,0.431520164,0.4832770228
0.5555992126,0.5410790443,0.5717871785
0.5163948536,0.500924468,0.5339287519
0.5091035366,0.4869563282,0.5342645645
0.5443639159,0.5326333046,0.5582006574
0.4980646074,0.4779086411,0.5213586688
0.5999203324,0.5756812692,0.6289749146
0.4845204949,0.470856756,0.5001937151
0.497813791,0.4847289026,0.5127757192
0.4489593208,0.4284936488,0.4729776978
0.5296358466,0.5176873207,0.5427544713
0.4603011012,0.4379250109,0.4862085283
0.4767572582,0.4600141644,0.49618572
0.6326285005,0.6179628968,0.649330318
0.4656903744,0.4520764053,0.4811899662
0.3960661888,0.3839124143,0.4103677869
0.4674597383,0.4585399628,0.477407515
0.609036386,0.5831374526,0.6387335658
0.5098506212,0.4951038659,0.5267435908
0.4060977995,0.3843991458,0.4314558208
0.5097509623,0.4929082692,0.5291675925
0.4555667341,0.4387088716,0.4741014838
0.6387175918,0.6214358807,0.6579450369
0.4668905735,0.4542955756,0.4809010923
0.6225557327,0.5942699313,0.6560453176
0.4756118655,0.4563065469,0.4982602
0.4601810575,0.4439300001,0.4796311557
0.6422373652,0.6241340637,0.6624607444
0.4776670039,0.464604497,0.4924507141
0.4953972399,0.4779407084,0.51576823
0.561891675,0.5447449684,0.5815873146
0.4704904854,0.4533664584,0.4898885787
0.5910362005,0.5668061376,0.6196213961
0.3575373888,0.3364100456,0.3823870122
0.5248559713,0.510296464,0.5413370728
0.5001162887,0.4860878289,0.5160972476
0.485978663,0.4732895494,0.5013170838
0.4238194525,0.4073111415,0.4427679479
0.7352460027,0.7180483937,0.7541118264
0.4673851132,0.4566447437,0.4794225395
0.4942378402,0.4784730673,0.5121266842
0.4970399737,0.4844581485,0.5111446977
0.3810550869,0.3669761717,0.3971098959
0.6438623667,0.6275987029,0.6615689397
0.5581314564,0.5376295447,0.5816767216
0.4756472409,0.4591888189,0.4950832129
0.4103015065,0.3962040544,0.4268359244
0.5046263933,0.4884371758,0.522945106
0.6636903286,0.643885076,0.68621701
0.4358697236,0.4227744937,0.4506374896
0.4355958998,0.4241733551,0.4483578205
0.5012896061,0.4947251678,0.5085272193
0.4739077985,0.4617637992,0.4887234867
0.4344967902,0.4211679995,0.4497523606
0.402991116,0.3869806826,0.4214788377
0.5942312479,0.5732241273,0.6184862852
0.3560113907,0.3368953466,0.3792366087
0.4579339921,0.4385609627,0.4799555838
0.4586952627,0.443733722,0.4753312171
0.5156359673,0.5014930367,0.5318034291
0.4237918854,0.407802552,0.4423181117
0.4913398623,0.4711238444,0.5140973926
0.616968751,0.6040120125,0.6318950057
0.4926088452,0.4767255187,0.5101163387
0.7179028988,0.6986318827,0.7397256494
0.4266645908,0.4219391942,0.4323049188
0.4225740135,0.4051508009,0.442891866
0.4819026589,0.4680187404,0.498236537
0.4585590661,0.4430932403,0.476434797
0.6238422394,0.6106236577,0.6387337446
0.5525506139,0.5330628753,0.5751655698
0.5383450389,0.5269314647,0.5512235165
0.4744542837,0.4602968693,0.4905388057
0.4875614643,0.4693787694,0.5087324977
0.455406636,0.4414566755,0.4715652466
0.4129418135,0.4032574892,0.4239297211
0.4857087433,0.462865144,0.5117809772
0.4248310626,0.4070433378,0.4455644488
0.6530056,0.6370251775,0.6706728935
0.4944809079,0.4765439928,0.5152702928
0.4567584395,0.4352453649,0.4822220802
0.5447686911,0.5345720053,0.5563372374
0.5501904488,0.5356208682,0.5671291947
0.5709152818,0.5554568768,0.5883688331
0.5078062415,0.482278198,0.5372418165
0.586158514,0.5699065924,0.6049124599
0.4589312077,0.4400742352,0.4806212485
0.5429764986,0.5299523473,0.5578662753
0.5103424191,0.495916456,0.526920557
0.4218113422,0.4125697613,0.4317350686
0.6106737852,0.6017194986,0.6205009818
0.5687030554,0.5587631464,0.5800033212
0.5962355733,0.5665079355,0.6305202842
0.6287209988,0.6115083694,0.6484780908
0.4936279953,0.4760628641,0.5132434964
0.3388589919,0.3310790956,0.3473690152
0.4924247563,0.4754771292,0.5119300485
0.4886792302,0.475032419,0.5039191842
0.6184130907,0.593469739,0.6477426291
0.4118586481,0.3981803358,0.4273577929
0.5575132966,0.5393083096,0.5779673457
0.4594421089,0.447201699,0.4742130935
0.3472165465,0.3347294927,0.3613950312
0.53241992,0.5205379725,0.5460363626
0.5408605933,0.5296987891,0.5528507233
0.5725048184,0.5574092865,0.5890671611
0.4853218198,0.4680902064,0.5050578713
0.4948658645,0.4789840579,0.5130690932
0.4506789148,0.4393173456,0.4635806382
0.340262711,0.3284709156,0.3534517288
0.5216888785,0.5030770898,0.543186605
0.4312187433,0.4165711105,0.4479902387
0.5021056533,0.4905410111,0.5154820085
0.5358899236,0.5190463066,0.5549328327
0.5370541215,0.5239062309,0.5515519977
0.2618137002,0.2558872402,0.268479228
0.4753343761,0.4570048153,0.4974642396
0.3585531414,0.3419321775,0.3773190081
0.4012995064,0.3866990507,0.4185263216
0.5150533915,0.5009990335,0.5313583016
0.5231616497,0.5093484521,0.5388475657
0.4518188834,0.4374426007,0.4679948688
0.6726521254,0.6572680473,0.689625144
0.4957310557,0.4801596105,0.5137896538
0.5082414746,0.494012922,0.5242643952
0.4228206277,0.4108371139,0.436419487
0.4702920914,0.4579667747,0.4842531681
0.5029175282,0.4868001044,0.5209904313
0.3662980497,0.3524781168,0.3822710514
0.4843965173,0.4691741765,0.5014773011
0.3633272052,0.3483702242,0.3808960319
0.5344395638,0.5175684094,0.5544428229
0.5478613377,0.5284278989,0.5705220699
0.5278245211,0.5139918327,0.5435173512
0.4877879024,0.4766731262,0.5000561476
0.4837606251,0.4725200832,0.4969377518
0.4600994885,0.4421307445,0.4811114967
0.5070733428,0.4941538274,0.5219846964
0.3422651291,0.3300039172,0.3566022217
0.3624624014,0.3512408137,0.3753544688
0.4736204743,0.4560205638,0.4940845072
0.5187936425,0.5041236877,0.5353139043
0.4983908832,0.4810804129,0.5182097554
0.665274024,0.651032865,0.6814323068
0.4926348627,0.4788233638,0.5093876123
0.5122717619,0.4943113625,0.5329046249
0.4555330575,0.4415131509,0.4715729952
0.4849809408,0.4739214182,0.4980280101
0.5862534642,0.570856154,0.6037310362
0.4722749591,0.4540424347,0.4927682877
0.5008416176,0.4898753166,0.5130716562
0.5067204237,0.4875760674,0.5286820531
0.5986332297,0.580157578,0.6196486354
0.4671903253,0.4523348212,0.4839776754
0.5696671009,0.5571928024,0.5840018988
0.4808785915,0.471862942,0.4913472235
0.2212458104,0.2087243199,0.2356387079
0.4927684665,0.4801656008,0.5075281858
0.4558579624,0.4430201948,0.4700724781
0.4926056564,0.4759098589,0.5113837123
0.4775708616,0.4619615078,0.4954310358
0.5543912053,0.5315620899,0.5805482268
0.5997236371,0.5788332224,0.6239655614
0.4912053347,0.4754443169,0.5091745853
0.4629485309,0.4501708746,0.4773661792
0.4706826508,0.4563351274,0.4870598018
0.5066549182,0.4953197539,0.5194054246
0.451674968,0.4379429519,0.4678042233
0.5746872425,0.5630151033,0.5876485705
0.624348104,0.6128942966,0.6381415725
0.6205829978,0.6055238247,0.6377815604
0.6247993112,0.6140577793,0.6367394328
0.5662154555,0.5587562919,0.5745617747
0.4735675156,0.4621159434,0.4869928062
0.4819856286,0.4644630253,0.5022509098
0.4756014347,0.4621877372,0.4908629358
0.4865160882,0.4729799032,0.5018013716
0.5199607015,0.5006429553,0.5425825119
0.4936232567,0.4803370237,0.5089564919
0.453024447,0.4396507442,0.4681563973
0.3696307838,0.3579720855,0.3830055892
0.5343281627,0.5137771964,0.5576204062
0.5154713392,0.4971422553,0.5373466015
0.4754744172,0.461835295,0.4911263585
0.4582714438,0.4402830899,0.4790993631
0.4669697583,0.4531959295,0.4829233885
0.5002694726,0.4915651679,0.5103327036
0.6098115444,0.5902094245,0.6336919069
0.4745506644,0.4596316516,0.4915065467
0.5017870069,0.4834076166,0.5225153565
0.5148694515,0.5020725131,0.5289925337
0.425917089,0.4127135873,0.4411032796
0.5261998773,0.5150235295,0.5386187434
0.4955519438,0.4767898619,0.5172646046
0.3704283535,0.3530374169,0.3904584646
0.4827285409,0.4659897685,0.5026301146
0.4012027681,0.3869524896,0.4176616371
0.5339920521,0.5201988816,0.5496593714
0.458886534,0.4419851303,0.4782464504
0.3741561174,0.3610099256,0.3891191781
0.4962591827,0.4816916287,0.5121646523
0.5612501502,0.5373694897,0.5893025994
0.5502462387,0.5329835415,0.569884479
0.2526488602,0.2450909317,0.2610223293
0.459286958,0.443385005,0.479472518
0.5404663682,0.5211382508,0.56242764
0.3559139371,0.3421235383,0.371768862
0.4941851199,0.4707746506,0.5212944746
0.4083574414,0.3868331611,0.4333997965
0.492980808,0.4740242064,0.5147743821
0.5113247037,0.4941564798,0.530967474
0.5119355321,0.4990845621,0.5265946388
0.515850246,0.5013039112,0.5318412781
0.4338412583,0.413261801,0.457575351
0.5111234188,0.5009611845,0.5227062702
0.5256388783,0.5175152421,0.5347794294
0.4682195485,0.4592545927,0.478189975
0.4454683065,0.4298209846,0.4633540213
0.5177319646,0.5031383038,0.5344951153
0.433516264,0.4196468294,0.4503170848
0.4442534745,0.4242310822,0.4676251709
0.5183902383,0.5042655468,0.5347054005
0.6221461892,0.6054053307,0.6412247419
0.3755067587,0.3626718521,0.390455842
0.4268831313,0.4046994746,0.4531872272
0.3494982719,0.3373742998,0.3629387319
0.4373445511,0.4162957072,0.4618569314
0.4790549278,0.4668157399,0.4931476712
0.4631932974,0.449985534,0.4781381488
0.4298280478,0.416993618,0.4442809224
