f1,precision,recall
0,0,0
0,0,0
1,0.0588235294,0.1111111111
0.5,0.0327868852,0.0615384615
1,0.0273972603,0.0533333333
1,0.0322580645,0.0625
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0.0434782609,0.0833333333
0,0,0
0.875,0.1555555556,0.2641509434
0,0,0
1,0.0434782609,0.0833333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0.0714285714,0.1333333333
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0.1428571429,0.25
0,0,0
1,0.0175438596,0.0344827586
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0.1,0.1818181818
0,0,0
0,0,0
1,0.1176470588,0.2105263158
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0.0769230769,0.1428571429
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0.125,0.2222222222
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0.0833333333,0.1538461538
0,0,0
1,0.0588235294,0.1111111111
0,0,0
0,0,0
1,0.0217391304,0.0425531915
1,0.0714285714,0.1333333333
0,0,0
0,0,0
1,0.0234375,0.0458015267
1,0.0909090909,0.1666666667
0,0,0
0.75,0.032967033,0.0631578947
0,0,0
0,0,0
0,0,0
0,0,0
1,0.0204081633,0.04
1,0.0434782609,0.0833333333
0,0,0
0.75,0.12,0.2068965517
0,0,0
1,0.1818181818,0.3076923077
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.6666666667,0.0303030303,0.0579710145
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0.0434782609,0.0833333333
0.8235294118,0.106870229,0.1891891892
0,0,0
1,0.0625,0.1176470588
0,0,0
0.8333333333,0.1351351351,0.2325581395
0,0,0
0,0,0
