f1,precision,recall,
0.4438489974,0.4329600036,0.4566116333,
0.5701990128,0.5694620609,0.5709543824,
0.4609075189,0.4489770532,0.4744088948,
0.3692846,0.3639838099,0.3752149343,
0.4345036745,0.4242249429,0.4463560283,
0.5275696516,0.5194754004,0.5366620421,
0.3776843548,0.3708914816,0.3854182363,
0.4849658608,0.4819184542,0.4886162877,
0.5705180168,0.5609441996,0.5812616944,
0.4589632154,0.4376069009,0.4839439988,
0.5088490844,0.5007422566,0.5179062486,
0.5760774612,0.5669728518,0.586527288,
0.5127522349,0.5022844672,0.5249400735,
0.5786678195,0.5670709014,0.5914543867,
0.4059492052,0.4018117189,0.4107654989,
0.4651968181,0.4485026896,0.4840923846,
0.5912448168,0.5827886462,0.6004539728,
0.5243306756,0.5140265226,0.5358991027,
0.6217254996,0.6134042144,0.6311066151,
0.5574432015,0.5491530299,0.567268908,
0.5289162397,0.5207149386,0.5383033752,
0.655938983,0.6417950988,0.6722636819,
0.5216415524,0.5185568333,0.5252838731,
0.5109362602,0.5007228851,0.5225452185,
0.5198928714,0.5099559426,0.5317780972,
0.5537099242,0.5459721088,0.5621389151,
0.4873792529,0.4741853178,0.5028732419,
0.4909380078,0.4816935062,0.5013900995,
0.6671378613,0.6580723524,0.6772720814,
0.4822771549,0.4774022698,0.4878332913,
0.4099279344,0.40467152,0.4159042835,
0.5064505935,0.5009157658,0.5127938986,
0.6501461267,0.633040905,0.6694771647,
0.5193009973,0.5075991154,0.5327901244,
0.4248861969,0.4115927815,0.4402156174,
0.5607175827,0.5535899401,0.5689964294,
0.4827232361,0.4758114815,0.4901185036,
0.6996199489,0.689467907,0.7107100487,
0.4913812578,0.481616199,0.5023819208,
0.7541310191,0.7381160259,0.773417294,
0.4980678558,0.4852303565,0.5130212903,
0.469674021,0.4573486149,0.4847952127,
0.6659126282,0.6541690826,0.6791369915,
0.5061794519,0.499701649,0.5136655569,
0.5701143742,0.564502418,0.5765774846,
0.572642386,0.5630118847,0.583817184,
0.481782198,0.4709785283,0.4940277636,
0.668051362,0.6555486917,0.6830123067,
0.3818131685,0.3677209616,0.3989792764,
0.5228105187,0.5147494674,0.53170228,
0.5291332603,0.5171921253,0.5428674817,
0.5138458014,0.507194221,0.5217368007,
0.4461063147,0.4378351867,0.455578208,
0.8374828696,0.8296061754,0.8464133739,
0.5029735565,0.4976664782,0.5088995099,
0.5661553741,0.5604172945,0.5727456212,
0.5484825969,0.5439018607,0.5532602072,
0.389053911,0.3778862059,0.4018341601,
0.6841955185,0.676022768,0.6929036975,
0.5652026534,0.550209105,0.5824652314,
0.4941855669,0.4844047427,0.5054933429,
0.4061290026,0.3914747536,0.4232354164,
0.5205577016,0.5101670027,0.5325871706,
0.695766449,0.6866131425,0.706071496,
0.4607273638,0.4556862712,0.4663518965,
0.4437273145,0.4347555041,0.4537057281,
0.5380368233,0.5345513821,0.5419213772,
0.4765252471,0.4653122127,0.4903507233,
0.4617285132,0.4548280835,0.4696645141,
0.4492328167,0.4396282732,0.4606522024,
0.615689218,0.6031573415,0.629853189,
0.3693035841,0.3563531339,0.3848947585,
0.4653041065,0.4560034275,0.4760264456,
0.4934763908,0.4841522276,0.5038378835,
0.5264137387,0.5182693601,0.5357136726,
0.4453078806,0.4360492826,0.4562678933,
0.5406079888,0.5321501493,0.5500450134,
0.6260394454,0.6174861193,0.635981977,
0.5652900934,0.556186378,0.5753023028,
0.7618990541,0.7542654276,0.7704544663,
0.4410067201,0.4386378229,0.4438903928,
0.4410891235,0.4296637475,0.4546055794,
0.5013449192,0.4942964911,0.5096108913,
0.475361079,0.464224875,0.4882968068,
0.6588967443,0.650506556,0.6683933139,
0.5742068887,0.5616336465,0.5888209939,
0.5555064082,0.5493849516,0.5622847676,
0.5037149787,0.4956773818,0.5129260421,
0.5061281323,0.4954516888,0.5184413791,
0.4699082077,0.4599165022,0.4815893173,
0.4195934832,0.4133009315,0.4266514778,
0.523570478,0.5151075721,0.5329813361,
0.4361748993,0.4221004546,0.452644974,
0.7717705965,0.7635427713,0.7809565067,
0.5397002697,0.526345253,0.5551195741,
0.4869975746,0.473824501,0.502107501,
0.5927554965,0.5884683132,0.5979169011,
0.5655812621,0.5578574538,0.5746120214,
0.5705077648,0.5617728233,0.5801855326,
0.5416760445,0.5283491611,0.5569387078,
0.5860937834,0.5788254142,0.5943128467,
0.5223176479,0.5151622295,0.5306045413,
0.557648778,0.5451183915,0.5722263455,
0.5298414826,0.5213366151,0.5392853618,
0.4099871516,0.401021719,0.4196330905,
0.6757176518,0.6727160215,0.6789911389,
0.577655673,0.5736424327,0.5819680095,
0.6398549676,0.6234232783,0.6582913995,
0.7345809937,0.7285546064,0.7411965132,
0.5079385638,0.4939795434,0.5235616565,
0.3437938392,0.3374092579,0.3508042991,
0.508774519,0.4963893592,0.522975564,
0.5146880746,0.5072683096,0.5228441358,
0.6557793617,0.6403300166,0.6735149622,
0.4314368963,0.4237874448,0.4401187301,
0.5702702403,0.5554226637,0.5870757699,
0.4768747985,0.4661502838,0.490062207,
0.3593899608,0.3516056836,0.368155539,
0.5688228607,0.5624017119,0.5758680105,
0.5632479787,0.5562459826,0.5707005262,
0.6527718306,0.6446168423,0.6617103219,
0.5136781931,0.5024375916,0.5262453556,
0.4952634871,0.4793816805,0.5134666562,
0.4666789174,0.4578432739,0.4768600464,
0.3487046659,0.3418607712,0.3562229276,
0.5594671965,0.5507179499,0.569550693,
0.4378745258,0.4276168942,0.4496075511,
0.5212653875,0.5149506927,0.5279790759,
0.5247958302,0.5136095881,0.5374695063,
0.5450713038,0.5340235829,0.557279706,
0.253246516,0.2494280487,0.2574706972,
0.5060256124,0.5006296635,0.51191324,
0.4166989028,0.4135368466,0.4201855361,
0.4198502302,0.4083409607,0.4335139096,
0.5625565648,0.5541129112,0.5726142526,
0.5468024015,0.5385830998,0.5563774109,
0.4940746725,0.4877409339,0.5013284087,
0.7986826897,0.791751802,0.8065247536,
0.5057106018,0.4920653999,0.5214947462,
0.557405293,0.5503994823,0.5652874112,
0.4406080842,0.4328220785,0.4496956766,
0.4807080328,0.4710529447,0.4917596579,
0.5259668231,0.5124209523,0.5412276387,
0.3853702247,0.3782584965,0.3936032057,
0.4946213961,0.4840458632,0.5064820051,
0.3772706985,0.3652347028,0.3916555643,
0.5704153776,0.5594832897,0.5837429762,
0.5697581172,0.5567306876,0.5844920874,
0.5746662617,0.5684319139,0.5818483233,
0.5049526691,0.4971006215,0.5136703849,
0.5044079423,0.4994208813,0.5106925964,
0.4773265719,0.466185838,0.4904074073,
0.5420758128,0.5347626805,0.5503951907,
0.3540088832,0.3451619446,0.3644430339,
0.3720499873,0.3647923172,0.3804808855,
0.5042662024,0.494728297,0.5154821873,
