f1,precision,recall
0.4508486986,0.4387209713,0.4650386274
0.5660752654,0.5606108308,0.5724511743
0.4741366506,0.4621837437,0.4876196086
0.374230057,0.3686065376,0.3805988729
0.4467030168,0.4376723468,0.4568637609
0.536785543,0.5291805267,0.5452619791
0.3833134174,0.3716915548,0.3965849876
0.4974259734,0.4935784042,0.5016723275
0.5848510265,0.5771340132,0.5932542682
0.4755391479,0.4588710368,0.4945461154
0.5104826093,0.5003833771,0.5216568112
0.5888991356,0.5792246461,0.599568069
0.5331073403,0.5246389508,0.5423452854
0.5867625475,0.5734958053,0.6020838618
0.4119524658,0.4032740593,0.4217863083
0.4834727943,0.4685172439,0.5001849532
0.6036787033,0.5933384895,0.6154783964
0.5305123329,0.5169332027,0.5461037159
0.6221874356,0.6140896082,0.6313480735
0.5677953362,0.5576428771,0.5794993043
0.5359322429,0.525262773,0.5482940078
0.6646865606,0.6513389349,0.6797503829
0.5249726176,0.5192666054,0.531275332
0.5217114687,0.5082262754,0.5369241834
0.5246465802,0.5149909854,0.5356613398
0.5666835904,0.5587034225,0.5757291317
0.4964343607,0.4866647422,0.5075438619
0.4917143583,0.4803386331,0.504412055
0.6849935055,0.6756315231,0.6955528855
0.4858651459,0.4784769416,0.4940268099
0.4202822149,0.4153107107,0.4261721075
0.5041083694,0.498349309,0.5106851459
0.6661680937,0.6433425546,0.6923710704
0.5350604057,0.5225085616,0.5492829084
0.4391410649,0.424266994,0.4564042091
0.569508791,0.5642319322,0.5752447844
0.4875547886,0.4761491716,0.5002774596
0.6880002618,0.6709994674,0.7073580623
0.524374485,0.5158981085,0.534262836
0.7714515924,0.7595647573,0.7851532102
0.5076240897,0.4947792888,0.5222840905
0.4964442253,0.4910793304,0.5025926232
0.6818576455,0.6703856587,0.6948872209
0.5115445852,0.5047484636,0.5191999078
0.5842514038,0.5810269713,0.5877580047
0.5962283015,0.5868951678,0.6068302989
0.4891051948,0.4744146168,0.5060320497
0.5824056268,0.5744838119,0.591370225
0.3838225901,0.3695842922,0.4004343152
0.5390754342,0.5282093883,0.5514322519
0.539080441,0.5285579562,0.5513422489
0.5231264234,0.5160472989,0.5313047171
0.4574662745,0.4492801428,0.4668287337
0.8424208164,0.8338987231,0.8525750637
0.5107194185,0.5058211684,0.5163155198
0.5682851076,0.5624703169,0.5747654438
0.5523240566,0.5429404378,0.5625552535
0.3992280066,0.3882935643,0.4118333161
0.6913077831,0.6852846742,0.6977075338
0.5113193989,0.4944476783,0.5302973986
0.5042315125,0.4955460727,0.5140257478
0.4253494143,0.4125362337,0.4403566122
0.5271065235,0.5141977668,0.5417718887
0.6752926111,0.6666220427,0.6848392487
0.4665216506,0.4607294798,0.4730139971
0.4707757831,0.4642306268,0.4779964983
0.5371930003,0.530721426,0.5444402099
0.487223357,0.4730416238,0.5039040446
0.4771429002,0.4729454815,0.481685698
0.4619747996,0.4579767287,0.4662341475
0.6268708706,0.6141873002,0.6417518854
0.32787925,0.3169555664,0.3409661055
0.4721543789,0.4638808668,0.4819139242
0.5040470958,0.4941681325,0.5152731538
0.5375819206,0.5261161923,0.550742805
0.4447400272,0.4342988729,0.456881851
0.544421792,0.5352002978,0.5549138188
0.6267391443,0.6175782681,0.6370251179
0.5543573499,0.5395544171,0.5719223022
0.7522787452,0.739587605,0.7667446136
0.4249977171,0.4170227647,0.4341120124
0.4629837871,0.4534054697,0.473821193
0.507185638,0.498767972,0.5170971751
0.4883385003,0.4783809483,0.4999262691
0.6690910459,0.6611209512,0.6780623198
0.592408061,0.5805180669,0.6058638692
0.5621217489,0.5539202094,0.5711088181
0.5112601519,0.5035505295,0.5200238824
0.5206372738,0.5104050636,0.5323081613
0.4753651321,0.4648606777,0.4873259962
0.4290283024,0.4245377779,0.4338263869
0.5447685122,0.5392560363,0.5506045818
0.4473795593,0.4337878227,0.4628729224
0.770001173,0.7673113346,0.7727649808
0.5438222289,0.5318069458,0.5573451519
0.4920718968,0.4829993844,0.5021009445
0.5879374743,0.5807307959,0.5961940885
0.5709061027,0.5610309243,0.5821023583
0.5692996383,0.5558882356,0.5840277672
0.5562601686,0.5437669754,0.5700898767
0.5930563807,0.5848526955,0.6025663614
0.5262534022,0.5147573352,0.5398491621
0.5736103058,0.5632025599,0.5853165388
0.5403946638,0.5338380933,0.547624886
0.4251236618,0.4057053924,0.4471971095
0.6845220923,0.6783844829,0.6910647154
0.5821188092,0.5782967806,0.5866258144
0.5390608311,0.5185791254,0.5624672771
0.7408230305,0.734000504,0.74850142
0.4983089566,0.4834453762,0.5151771903
0.3336569667,0.3220844269,0.3466553688
0.51773417,0.506436646,0.5307079554
0.5288606286,0.521017909,0.5378110409
0.6637516022,0.6488038898,0.6811159849
0.43740502,0.429662317,0.445993036
0.5985347629,0.5856691003,0.6129305363
0.4808779955,0.4698684514,0.4939310551
0.3583790064,0.3469409347,0.3717466891
0.5876287818,0.5830489397,0.5926865935
0.5646006465,0.554400146,0.5763404965
0.6487309337,0.6377130151,0.6610822678
0.5087943077,0.4951800704,0.5243628025
0.4573998451,0.4433065355,0.4732739031
0.4758068621,0.4666499496,0.4865475297
0.3491389155,0.3424751163,0.3564862609
0.5721032619,0.5659587383,0.5789971948
0.4508118033,0.4422902465,0.4604660869
0.524364531,0.5158786178,0.5336175561
0.5538529158,0.5440855622,0.5648938417
0.5374842286,0.5251822472,0.5511972308
0.2563467622,0.2514281571,0.2618601918
0.5143625736,0.5061643124,0.5240353346
0.4194175303,0.4159947932,0.4231741726
0.420997858,0.4080248177,0.4361817539
0.565987289,0.5589125752,0.5743997693
