f1,precision,recall
0.4247382581,0.4285178781,0.4214196503
0.6845453382,0.7040721774,0.6681675911
0.6744676828,0.6839686036,0.666230917
0.7167803049,0.7273398042,0.7074161172
0.6940891147,0.7075339556,0.6822146177
0.7178774476,0.7269232869,0.7100826502
0.6572585702,0.6564166546,0.6591172814
0.6898578405,0.7048681378,0.6767010093
0.6952164769,0.709038794,0.6830742955
0.6464923024,0.6592471004,0.6351490021
0.695610106,0.7118648291,0.6826321483
0.6706185341,0.6914547682,0.6527217627
0.6960858703,0.7068586946,0.6862219572
0.6932265759,0.6934176683,0.6934700608
0.6966424584,0.7078075409,0.687658906
0.640656352,0.654817462,0.6287508011
0.6972186565,0.7104926705,0.6853860021
0.712239325,0.7213941813,0.7045432925
0.6864975691,0.7126308084,0.663371861
0.7241238356,0.7289565206,0.7203370929
0.6744176149,0.6920192838,0.6593795419
0.700155735,0.7171007395,0.6857023835
0.6878242493,0.7008221149,0.6767325401
0.6809940338,0.6825171709,0.6799788475
0.6754299402,0.6963099837,0.6580988169
0.7037344575,0.7096924782,0.6990610957
0.6561149359,0.6722243428,0.6417563558
0.6919967532,0.6967026591,0.6889898777
0.6913144588,0.6993371844,0.684407711
0.7193964124,0.7288299203,0.7112109065
0.6683554053,0.679967165,0.6577981114
0.7233684063,0.7303948998,0.7167178988
0.6627957821,0.6712704897,0.656648159
0.6948472857,0.7036721706,0.6873296499
0.628995955,0.6433609128,0.6164804101
0.6897281408,0.7069537044,0.6742557287
0.6783066988,0.6897862554,0.6680707335
0.6788402796,0.683314383,0.6760951877
0.7285326123,0.7398660779,0.7180267572
0.6965445876,0.7207064629,0.6752252579
0.6747200489,0.6853704453,0.6659103036
0.681221962,0.6933621168,0.6704386473
0.7028471828,0.714291513,0.6921925545
0.7012529373,0.7142493725,0.6897773743
0.6873996854,0.7077071071,0.6696713567
0.6640508175,0.6757555604,0.6538180113
0.6783245206,0.6859158874,0.6724398136
0.6330372095,0.6493855119,0.6192759871
0.6660898924,0.6842247248,0.6493890882
0.6526436806,0.6609920263,0.6459949017
0.708745718,0.7156735659,0.7030546665
0.7181363106,0.731033802,0.7069934011
0.6880784035,0.7037072182,0.6741681099
0.7315450907,0.7442461252,0.7197816968
0.6890872717,0.6989222169,0.6803804636
0.7008931041,0.7170165777,0.686542809
0.6706089973,0.6758428812,0.6673167944
0.6840528846,0.6948360801,0.6742296815
0.7205368876,0.732211113,0.7096791863
0.5642215014,0.5690281987,0.5620223284
0.6812505126,0.6940685511,0.6702387929
0.6615552306,0.6698988676,0.6539436579
0.7020247579,0.7131137848,0.6925302148
0.6609436274,0.6725470424,0.6510348916
0.7085251212,0.7216740847,0.6966868639
0.6955942512,0.7037403584,0.6880151033
0.7116370797,0.7132740617,0.7104086876
0.6874379516,0.6888848543,0.6868239045
0.6987540126,0.7162641883,0.6825311184
0.7123932242,0.7319304943,0.6944181919
0.6844618917,0.6982090473,0.6729339957
0.5674721003,0.5814136863,0.5553654432
0.6793138981,0.6894993782,0.6695437431
0.7079208493,0.7169727087,0.699919045
0.7010342479,0.7062792778,0.697101295
0.6920187473,0.7053907514,0.6800325513
0.688952446,0.7091148496,0.6710608006
0.7030886412,0.709430635,0.6973996162
0.6994482875,0.7091941833,0.6905482411
0.703418076,0.7114202976,0.6975296736
0.7177057266,0.7121631503,0.7244583964
0.6722403169,0.6883798242,0.6576110721
0.7114756703,0.7235360742,0.7011734247
0.6860266328,0.696680963,0.6765082479
0.7178464532,0.7219027877,0.71424371
0.6908712387,0.7031294703,0.6801900268
0.6975943446,0.7019509077,0.6944115758
0.699164331,0.7125555277,0.6871135235
0.6544247866,0.6670793295,0.6436456442
0.6920565963,0.6996254921,0.6855767369
0.7262274027,0.737107873,0.7162174582
0.6682986617,0.6901295185,0.6487445831
0.6714079976,0.681404233,0.6627450585
0.7359976172,0.7545070052,0.7192736268
0.6824563742,0.693359971,0.6727582812
0.6864497662,0.7051672935,0.6694663167
0.7059897184,0.7144005299,0.6983212233
0.7034365535,0.7144394517,0.6939575076
0.6392558217,0.6437384486,0.6363062859
0.6710661054,0.6901234984,0.6544569731
0.7108435035,0.7204644084,0.7027882934
0.6883503199,0.7030383348,0.6758608818
0.7200861573,0.727776885,0.7140656114
0.7055668235,0.718344748,0.6940367818
0.6401794553,0.6353219748,0.6455350518
0.732034266,0.7398705482,0.7250873446
0.6970831156,0.7083059549,0.6869704723
0.5475639105,0.5583204627,0.5385805964
0.7155541182,0.7338297367,0.7002009153
0.7029649019,0.70835495,0.6982808113
0.6668356657,0.6594061852,0.6753156185
0.7049531937,0.7171512246,0.6942713857
0.6900018454,0.7006988525,0.6807169914
0.6930554509,0.7047374249,0.68342942
0.6845364571,0.696321547,0.6741275787
0.6812354922,0.6899349093,0.6735712886
0.6976726055,0.7035977244,0.6925475001
0.6884040236,0.693595767,0.6847690344
0.6930900216,0.705811739,0.6825487614
0.6976291537,0.7018591762,0.6936838031
0.7146478891,0.7214264274,0.7089478374
0.6845561862,0.6943276525,0.6762494445
0.6249414086,0.6240366101,0.6265005469
0.7112166286,0.7189507484,0.7041937113
0.7094326019,0.7233057618,0.6967240572
0.6987274885,0.7187260985,0.6808215976
0.6819748282,0.6931221485,0.6725299358
0.7026848793,0.7119008303,0.694312036
0.6760975122,0.6861330867,0.6669839621
0.6887396574,0.6924467087,0.6853935719
0.651473701,0.655596137,0.6492036581
0.706908226,0.7266819477,0.6904662251
0.6835569739,0.7140052915,0.6572179198
0.691840291,0.7015217543,0.6832261682
0.6835436225,0.6940103173,0.674470067
0.6781189442,0.6869320273,0.6713788509
0.6998156309,0.7119789124,0.6886373162
0.6793701649,0.6924743056,0.6672420502
0.6841859221,0.6898990273,0.6799318194
0.7305901051,0.7422911525,0.720169723
0.6727659702,0.6768962741,0.6689928174
0.6946027875,0.7027673721,0.6873915195
0.6424608231,0.6494280696,0.6362538934
0.6721391678,0.6821890473,0.6637143493
0.7236027122,0.7322161794,0.7156355381
0.6827419996,0.6863148808,0.6798818707
0.6082808375,0.6157065034,0.6046261191
0.6689503193,0.6781559587,0.6612374783
0.6852424741,0.6923490167,0.6796777248
0.7134401798,0.7230522633,0.7045093775
0.7030710578,0.7165053487,0.691021502
0.6835247278,0.6967114806,0.6718479991
0.7075451016,0.7206804752,0.6960317492
0.6688891053,0.6777104735,0.661377728
0.7041736245,0.7172220945,0.6923618317
0.6780272722,0.6936563253,0.6641684175
0.6936877966,0.7059488893,0.682621479
0.6896097064,0.7125086188,0.6689510942
0.7242931128,0.7309635282,0.7186763883
0.6795591712,0.6905978918,0.6706644297
0.6431975961,0.6528451443,0.6343532205
0.6853362322,0.6917436123,0.6799057722
0.6740296483,0.6812976599,0.6674416661
0.7306572199,0.7436735034,0.7187071443
0.6709321737,0.6914843917,0.6519848108
0.7264991999,0.7389961481,0.7151613832
0.7041013241,0.7253283858,0.6849136353
0.6955696344,0.7086391449,0.6840015054
0.6471511126,0.6518710256,0.6442655921
0.7116150856,0.7211229205,0.7027798891
0.6714041829,0.6708570123,0.6732929945
0.6662956476,0.6835380793,0.6503219604
0.7030630112,0.7121191025,0.6947098374
0.6698446274,0.6805520654,0.661463201
0.6840939522,0.698852241,0.6707972884
0.6990855932,0.7119662762,0.6878865957
0.6753050685,0.6969519854,0.6559826136
0.6852692962,0.6994553804,0.6737078428
0.7038034201,0.7297853231,0.6813132167
0.6902092099,0.7011764646,0.6805606484
0.7103539705,0.7349024415,0.6884384751
0.6732015014,0.6773043275,0.6704921126
0.6929333806,0.7000185847,0.6866212487
0.7232508063,0.7317562103,0.7154060006
0.7549116611,0.7639313936,0.74710989
0.6773602366,0.6829980016,0.6730249524
0.7002660632,0.7105246782,0.6908902526
0.7210362554,0.725474,0.7171279788
0.6934176683,0.7073667645,0.6805642247
0.6773687005,0.6880816221,0.6679270267
0.6592876911,0.6688194871,0.6511710882
0.6771315336,0.6829633117,0.6722316146
0.6683411002,0.6832216978,0.6558539271
0.6692169905,0.6784424782,0.6620553732
0.7114804983,0.7281812429,0.6972663403
0.6843198538,0.6948912144,0.6755782962
0.6977311969,0.7202414274,0.6774921417
0.6701396108,0.6860191226,0.6554874182
0.7018848062,0.7133262157,0.691539526
0.6820400357,0.698646903,0.6680499315
0.6879994869,0.7030338645,0.6747089028
0.7168409228,0.7248692513,0.7095195055
0.700338006,0.7159696817,0.6874995828
0.6590128541,0.6603379846,0.6591280699
0.6398300529,0.6515740156,0.6309933066
0.7147632241,0.7205337286,0.7103401423
0.6470373869,0.6548396349,0.6413732767
0.7118680477,0.7191613317,0.7056598067
0.6682054996,0.6819316745,0.656039536
0.6589714885,0.6776525974,0.6423262954
0.7194378376,0.7369145751,0.7041249871
0.6997836232,0.7114511728,0.68928653
0.6943320632,0.6996964216,0.6894932389
0.6675260663,0.6711207032,0.6652468443
0.6656998992,0.6816488504,0.6518887281
0.7085946202,0.7252660394,0.6932697892
0.6765134335,0.6853294969,0.668481648
0.6883159876,0.6965976954,0.6810297966
0.6469017267,0.6675438881,0.6288504601
0.6931675076,0.7085789442,0.6799231768
0.7080281377,0.7291892767,0.6887491345
0.6903195977,0.7067018151,0.6755862236
0.6704810262,0.6884260774,0.6544638276
0.68072474,0.7130294442,0.6526590586
0.6499406695,0.6621481776,0.6395439506
0.70617944,0.7265914083,0.6884260178
0.7046191692,0.7091724277,0.7009924054
0.7304039598,0.7425498962,0.7193690538
0.694254756,0.7224570513,0.669241786
0.712561965,0.7141561508,0.7118947506
0.7111526132,0.7176086903,0.7054898739
0.6851769686,0.6924026012,0.6797027588
0.6949884295,0.7028844953,0.6878395081
0.70235461,0.7168462276,0.6897962689
0.6831102371,0.6932405233,0.6742997766
0.6644309163,0.6871885657,0.6443412304
0.6858161688,0.7035139799,0.6708520055
0.6921197772,0.6928732395,0.6922473907
0.6766502261,0.693724215,0.6621283293
0.6959287524,0.7189605236,0.676056385
0.7186476588,0.7403038144,0.6987341046
0.594653964,0.6075081229,0.584218204
0.6907011867,0.7003806829,0.6823904514
0.6807951331,0.6835378408,0.6796847582
0.648177743,0.6570919156,0.641710043
0.6891622543,0.6985411048,0.6810051203
