f1,precision,recall
0.0740740741,0.5,0.1290322581
0.2857142857,0.5714285714,0.380952381
0.1153846154,0.6,0.1935483871
0.1239669421,0.5357142857,0.2013422819
0.1367521368,0.64,0.2253521127
0.2222222222,0.8333333333,0.350877193
0.1428571429,0.75,0.24
0.1923076923,0.625,0.2941176471
0.1538461538,0.5714285714,0.2424242424
0.1,1,0.1818181818
0.1818181818,0.6666666667,0.2857142857
0.3846153846,1,0.5555555556
0.2666666667,1,0.4210526316
0.3,0.75,0.4285714286
0.1666666667,0.6666666667,0.2666666667
0.2307692308,0.75,0.3529411765
0.0909090909,0.5,0.1538461538
0.1612903226,0.7142857143,0.2631578947
0.4166666667,0.8333333333,0.5555555556
0.196969697,0.6842105263,0.3058823529
0.2631578947,0.7142857143,0.3846153846
0.2692307692,0.5833333333,0.3684210526
0.2666666667,0.6666666667,0.380952381
0.125,0.8333333333,0.2173913043
0.2962962963,0.7272727273,0.4210526316
0.2222222222,0.8,0.347826087
0.3571428571,1,0.5263157895
0.0909090909,0.5,0.1538461538
0.1818181818,0.6666666667,0.2857142857
0.2380952381,0.625,0.3448275862
0.2,1,0.3333333333
0.1666666667,0.6,0.2608695652
0.3,1,0.4615384615
0.1612903226,0.7142857143,0.2631578947
0.1818181818,0.6666666667,0.2857142857
0.3,0.75,0.4285714286
0.3,1,0.4615384615
0.1818181818,0.6666666667,0.2857142857
0.2,0.6666666667,0.3076923077
0.5,1,0.6666666667
0.125,0.625,0.2083333333
0.1333333333,0.6666666667,0.2222222222
0.2307692308,0.6,0.3333333333
0.2692307692,0.875,0.4117647059
0.3076923077,0.8,0.4444444444
0.1904761905,0.6666666667,0.2962962963
0.2608695652,0.8571428571,0.4
0.4615384615,1,0.6315789474
0.2222222222,1,0.3636363636
0.1851851852,0.8333333333,0.303030303
0.2083333333,0.7142857143,0.3225806452
0.25,0.7142857143,0.3703703704
0.1688311688,0.619047619,0.2653061224
0.5555555556,1,0.7142857143
0.1818181818,0.6666666667,0.2857142857
0.3333333333,0.75,0.4615384615
0.2727272727,0.6,0.375
0.097826087,0.6923076923,0.1714285714
0.2,0.6666666667,0.3076923077
0.1818181818,1,0.3076923077
0.1086956522,0.5,0.1785714286
0.0625,1,0.1176470588
0.2777777778,1,0.4347826087
0.3125,1,0.4761904762
0.2173913043,1,0.3571428571
0.1,1,0.1818181818
0.1764705882,0.75,0.2857142857
0.1034482759,0.6,0.1764705882
0.2222222222,0.6666666667,0.3333333333
0.3,0.75,0.4285714286
0.0666666667,0.3333333333,0.1111111111
0.1333333333,1,0.2352941176
0.25,0.75,0.375
0.25,0.75,0.375
0.1052631579,0.6666666667,0.1818181818
0.1351351351,0.625,0.2222222222
0.3333333333,0.8333333333,0.4761904762
0.1176470588,0.5714285714,0.1951219512
0.2,0.6666666667,0.3076923077
0.2727272727,0.75,0.4
0.2,0.8,0.32
0.1818181818,1,0.3076923077
0.2105263158,0.7272727273,0.3265306122
0.1379310345,0.75,0.2330097087
0.2,0.75,0.3157894737
0.1607142857,0.6428571429,0.2571428571
0.2777777778,1,0.4347826087
0.1449275362,0.5555555556,0.2298850575
0.1527777778,0.6111111111,0.2444444444
0.1116504854,0.575,0.1869918699
0.2222222222,1,0.3636363636
0.2727272727,0.6,0.375
0.0884353741,0.5416666667,0.1520467836
0.5,1,0.6666666667
0.1818181818,1,0.3076923077
0.1481481481,0.5,0.2285714286
0.2727272727,1,0.4285714286
0.1774193548,0.6875,0.2820512821
0.2,0.75,0.3157894737
0.1904761905,0.5,0.275862069
0.2258064516,0.7,0.3414634146
0.4166666667,1,0.5882352941
0.0714285714,0.25,0.1111111111
0.14,0.7,0.2333333333
0.1,0.5,0.1666666667
0.3333333333,0.8333333333,0.4761904762
0.1538461538,0.5,0.2352941176
0.375,1,0.5454545455
0.4444444444,0.6666666667,0.5333333333
0.1818181818,1,0.3076923077
0.1176470588,1,0.2105263158
0.1914893617,0.8181818182,0.3103448276
0.1785714286,0.5555555556,0.2702702703
0.2380952381,0.7142857143,0.3571428571
0.1666666667,0.6666666667,0.2666666667
0.1162790698,0.7142857143,0.2
0.1612903226,0.7142857143,0.2631578947
0.0952380952,0.6666666667,0.1666666667
0.125,0.5,0.2
0.1428571429,0.5,0.2222222222
0.3333333333,1,0.5
0.1764705882,0.75,0.2857142857
0.0555555556,1,0.1052631579
0.1333333333,0.6666666667,0.2222222222
0.15,0.75,0.25
0.3333333333,0.8333333333,0.4761904762
0.1830985915,0.7959183673,0.2977099237
0.1818181818,1,0.3076923077
0.2142857143,0.6923076923,0.3272727273
0.3333333333,1,0.5
0.0576923077,0.4285714286,0.1016949153
0.0769230769,0.3333333333,0.125
0.3461538462,0.8181818182,0.4864864865
0.1666666667,1,0.2857142857
0.1538461538,1,0.2666666667
0.25,0.8333333333,0.3846153846
0.1428571429,0.5,0.2222222222
0.5,1,0.6666666667
